Betweeness runtime: 16.029
BC results:
Node # 	| Betweenness
14079 	| 0
16754 	| 0.00256996
18783 	| 0
19612 	| 0.00256996
20552 	| 1.96682e-006
20553 	| 0
21032 	| 0
23355 	| 0.0081741
24454 	| 0
25086 	| 2.1635e-005
25180 	| 0
25785 	| 0
10539 	| 0.0170269
4254 	| 0
9337 	| 0
1497 	| 0.0081741
6724 	| 0.0433283
16890 	| 0
2630 	| 0.0081741
7563 	| 0.0484468
14403 	| 0.0413646
17392 	| 0
23503 	| 0.015122
2558 	| 0
21910 	| 0.162261
18910 	| 0
2511 	| 0.0118518
10986 	| 0
13318 	| 0.037765
14051 	| 0.0337508
14414 	| 0.0163443
22119 	| 0.0601693
1006 	| 0
4351 	| 0.132647
11372 	| 0.078544
16414 	| 0.128309
639 	| 0.012115
1941 	| 0.0102656
5227 	| 0
7015 	| 0
9647 	| 1.54654e-005
12852 	| 0
15846 	| 0.0376167
16333 	| 0
16347 	| 0.023482
4576 	| 0
6941 	| 0.0160519
7206 	| 0
7485 	| 0
9389 	| 0
9426 	| 0.0163462
10246 	| 0
11026 	| 0.026522
17953 	| 0
18946 	| 0
18983 	| 0.0121655
19013 	| 0
23458 	| 0.0109916
23986 	| 0.0489076
4697 	| 0.0449769
3007 	| 0
22082 	| 0.0223364
25537 	| 0.0081741
5695 	| 0.0603876
574 	| 0
6971 	| 0.0208132
13282 	| 0.00195636
15409 	| 0
18745 	| 0
18758 	| 0
21497 	| 0
22366 	| 0.148417
23714 	| 0
1153 	| 0
17501 	| 0.0894856
4183 	| 0
6010 	| 0
9862 	| 0.0432138
12370 	| 0
16834 	| 0.0163443
16853 	| 0
16899 	| 0.0472309
21199 	| 0
22299 	| 5.8748e-005
22309 	| 0.00144084
22620 	| 0.0200864
20248 	| 0.0081741
12679 	| 0
573 	| 0.0108445
1430 	| 0
2072 	| 0.132937
4966 	| 0
19493 	| 0.00119879
22278 	| 0.0012883
5769 	| 0
10896 	| 0
20915 	| 0
22848 	| 0.0326728
1347 	| 0
4782 	| 0
15582 	| 0
17472 	| 0
19707 	| 0
21930 	| 0
24835 	| 0.00668652
24959 	| 0
24009 	| 0.0408582
283 	| 0
1880 	| 0
5505 	| 0
15959 	| 0.0672651
15961 	| 0
24444 	| 0
14316 	| 0.0126398
14690 	| 0.0498171
22254 	| 0
749 	| 0
1373 	| 0.0525889
3607 	| 0.0081741
7245 	| 0.0245628
8031 	| 0.000547202
15907 	| 0
19164 	| 0.0037853
302 	| 0
2335 	| 0
6702 	| 0
11490 	| 0.0245144
16108 	| 0
17174 	| 0
17924 	| 0
3999 	| 0
8211 	| 0
12373 	| 0
20059 	| 0.0519624
2155 	| 0.0955438
4283 	| 0
6408 	| 0.0546611
7715 	| 0
8920 	| 0
23256 	| 0.00452064
2607 	| 0.00448784
3450 	| 0
4588 	| 0.0222582
5130 	| 0
5353 	| 0
5835 	| 0.0249876
9450 	| 0.00364357
12165 	| 0
12722 	| 0.0144508
20003 	| 0
20184 	| 0
24640 	| 5.90046e-006
4685 	| 0
15415 	| 0
24152 	| 0
8376 	| 0
8888 	| 0
13067 	| 0.00539423
4213 	| 0.0163443
7045 	| 0.0577247
11892 	| 0
20645 	| 0
23264 	| 0
10600 	| 0.0245144
13493 	| 0
13496 	| 0
18788 	| 0.00691121
18791 	| 0
23394 	| 0.00818491
140 	| 0.0146828
17304 	| 0
18587 	| 0
19404 	| 0.00994127
22462 	| 0.00848974
24122 	| 0
1078 	| 0.00302465
5164 	| 0
9387 	| 0
11640 	| 0.00340509
12545 	| 0.392519
13371 	| 0.0117453
17116 	| 0.0367038
19741 	| 0.0367038
22149 	| 0
16331 	| 0.00289426
19184 	| 0
17843 	| 0.000871257
1685 	| 0.0359194
8134 	| 0.0109262
12687 	| 0.0980005
23409 	| 0
1321 	| 0.00905115
4433 	| 0
5125 	| 0.00481363
7625 	| 0.012002
10895 	| 0.0489176
11899 	| 0
13711 	| 0.0290458
16162 	| 0.0556539
16475 	| 0
19167 	| 0
19387 	| 0.0081741
21089 	| 0.0503828
21727 	| 0
23863 	| 0.00374601
25565 	| 0.0164034
5060 	| 0
20660 	| 0.019857
1608 	| 0.00849367
20030 	| 0.0132684
11447 	| 0.0223647
834 	| 0
2490 	| 0.00809797
5570 	| 0
15625 	| 0
15917 	| 0.00155304
18140 	| 0.21751
18790 	| 0
24110 	| 0.0298992
4466 	| 0.00893991
8505 	| 0
16357 	| 0.0108712
20116 	| 0.0270835
20148 	| 0.125408
22899 	| 0.00317278
25710 	| 0.00935709
4068 	| 0.0439125
9517 	| 0
11400 	| 0.204926
11630 	| 0
11700 	| 0
11733 	| 0.0400266
11951 	| 0.00237109
12268 	| 6.11426e-006
14093 	| 0.0425099
15685 	| 0
16006 	| 0.0551172
16495 	| 0.0027969
17135 	| 0
20169 	| 0
22188 	| 4.58376e-005
22189 	| 0
22621 	| 0
22811 	| 0
22975 	| 0.00106891
23110 	| 0.00026067
23509 	| 0.000230825
23552 	| 0.0203394
23805 	| 0.0870348
23806 	| 0
25557 	| 0.0163443
25562 	| 0.000408275
7801 	| 0.0459088
14089 	| 0.0268682
14967 	| 0.0359358
25215 	| 0.0326807
11868 	| 0.00392849
24023 	| 0.00998826
2559 	| 0
5543 	| 0
5767 	| 0.0159313
10931 	| 0.0597872
24097 	| 0.130456
14952 	| 0.0836045
16953 	| 0.000138795
20191 	| 0.000395599
25934 	| 0.0081741
10467 	| 0.0163443
13175 	| 0
20892 	| 0.0326787
21816 	| 0
25209 	| 0.00674721
14371 	| 0
17443 	| 0.0131321
141 	| 0
8408 	| 0.0111114
17286 	| 0
25827 	| 0.00100717
5246 	| 0.00907676
10524 	| 0
12337 	| 0
15419 	| 0
24 	| 0.0081741
3858 	| 0.0285612
15066 	| 0.100595
23161 	| 0.0285612
25378 	| 0.116931
205 	| 0.038384
12389 	| 0
15718 	| 0
16506 	| 0
21650 	| 0.0300674
22502 	| 0.0081741
482 	| 0.096016
3411 	| 0
4428 	| 0
5392 	| 0.00602456
6317 	| 0
7541 	| 0.00602456
15664 	| 0
16469 	| 0.0504613
17665 	| 0.0037579
20424 	| 0
24734 	| 0
8206 	| 0
12865 	| 0
13384 	| 0.0962486
17688 	| 0.00136671
3826 	| 0
12369 	| 0
13498 	| 0
19111 	| 0
22239 	| 0
19084 	| 0.0489954
23943 	| 0
75 	| 0
8807 	| 0.00677617
22530 	| 0
15353 	| 0.0163462
3449 	| 0
17950 	| 0
18522 	| 0
6709 	| 0
18003 	| 1.96682e-006
5545 	| 0
12135 	| 0.0571557
2475 	| 0
3209 	| 0
15973 	| 0
21928 	| 0
24765 	| 0.0163443
6219 	| 0
18160 	| 0
1833 	| 0
8177 	| 0.0571715
12107 	| 0
4819 	| 0.0081741
7863 	| 0
8596 	| 0
13635 	| 0.0897499
17848 	| 0
25152 	| 0.0081741
25408 	| 0.0163443
11891 	| 0.0163462
20243 	| 0.0163462
19233 	| 9.83409e-007
733 	| 0
20597 	| 0
3171 	| 0
19149 	| 0
19340 	| 0.0418244
7824 	| 0.0285848
8815 	| 0.0081741
12065 	| 0.00408311
14558 	| 0
15306 	| 0
15400 	| 0
22528 	| 0
22832 	| 0
10969 	| 0
13321 	| 0
16958 	| 0
19109 	| 0.00452241
23346 	| 0
2848 	| 0
4896 	| 0.109327
8666 	| 0.0994317
10552 	| 0
12884 	| 0.0261543
18511 	| 0.0333986
25988 	| 0
22371 	| 0
11566 	| 0
11808 	| 0
18560 	| 0
15249 	| 0
15624 	| 0
1058 	| 0.0277727
2614 	| 0
3730 	| 0.00127714
7449 	| 0.0146641
10801 	| 0.0672461
14661 	| 0.0598456
21321 	| 0.00427348
22376 	| 0
24295 	| 0
5485 	| 0.0081741
23870 	| 0.00732696
6638 	| 0.040843
17754 	| 0.0081741
25674 	| 0
9273 	| 0.00169409
9325 	| 0.0175495
2783 	| 0
9408 	| 0
12927 	| 0.200243
13310 	| 0
6264 	| 0.269577
7204 	| 0.0102997
12247 	| 0.0163478
19433 	| 0.0350802
18867 	| 0
24943 	| 0
731 	| 0
17359 	| 0.0468651
23558 	| 0.0326728
6828 	| 0
25319 	| 0
3953 	| 0.0489856
13196 	| 0.0204969
15568 	| 0.0245144
17163 	| 0
22954 	| 0
14606 	| 0
22144 	| 0.208148
1840 	| 0
4713 	| 0
6824 	| 0
12492 	| 0
10478 	| 0
16675 	| 0
13859 	| 0.040841
4141 	| 1.96682e-006
9267 	| 0
11052 	| 0.076615
16091 	| 0
17755 	| 0
20053 	| 0
22395 	| 0
26168 	| 0
8378 	| 0
16607 	| 0.0119687
2054 	| 1.96682e-005
1552 	| 0
8719 	| 0
9760 	| 0
10355 	| 0
13741 	| 0
5116 	| 0.00951546
9629 	| 0.0412854
7087 	| 0.0504246
9984 	| 0
10153 	| 0.00328028
10543 	| 0.00850566
10967 	| 0
16336 	| 0
20435 	| 0
20479 	| 0
21433 	| 0
25569 	| 0.0374507
25783 	| 0.00233423
7039 	| 0
12166 	| 0
14970 	| 0
7277 	| 0.024482
16766 	| 0
16770 	| 0
16858 	| 0
17113 	| 0.0894772
17389 	| 0
18408 	| 0.235155
19089 	| 2.91745e-005
20033 	| 0.000187087
23429 	| 0.0157329
24578 	| 0.00313916
4724 	| 0.0113064
6904 	| 0.00267205
7452 	| 0
12491 	| 0.166358
13369 	| 0.0575949
14346 	| 0
18065 	| 0.0262084
18271 	| 0.0421645
19244 	| 0
23989 	| 0
10983 	| 0.0816059
4642 	| 0
16708 	| 0.00647762
8231 	| 0
9616 	| 0.0227466
24149 	| 0
1519 	| 0
8768 	| 0.0571261
9937 	| 0.00110409
24270 	| 0.0121031
25435 	| 0.0326728
5181 	| 0.0978295
6316 	| 0
17235 	| 0.0081741
2870 	| 0.0361897
2536 	| 0
9207 	| 0.000542558
9732 	| 0.00136138
12654 	| 0.0461151
16041 	| 0
22555 	| 0.0816255
24753 	| 0.109357
25870 	| 0
5830 	| 0
10991 	| 0
17306 	| 0.00922989
19924 	| 0
10923 	| 0.032663
11821 	| 0
16013 	| 0.00816426
21469 	| 0
11944 	| 0
16429 	| 0.0133608
25784 	| 0
21608 	| 0.0425161
23092 	| 0.00321841
25571 	| 0
5444 	| 0
11734 	| 0
13931 	| 9.83409e-007
21549 	| 0
25615 	| 0
8476 	| 0
13388 	| 0
12739 	| 0.026403
4847 	| 0
10842 	| 0
11293 	| 0.0817852
25125 	| 0.0111981
1672 	| 0.000680852
8079 	| 0.000680852
11461 	| 0.0185369
16755 	| 0
1711 	| 0.0555426
3174 	| 0
6726 	| 0
6813 	| 0.01719
13703 	| 0
20046 	| 0.00764634
20854 	| 0
5411 	| 0
5503 	| 0.0571597
10390 	| 0
11186 	| 0
7522 	| 0.000747263
9944 	| 0
17086 	| 0.0081741
21341 	| 0
16010 	| 0.00110829
22696 	| 0
25585 	| 0
3526 	| 0
15786 	| 0
135 	| 0.0446864
1776 	| 0
4102 	| 0.00613375
12311 	| 0.000373216
12675 	| 0.0271005
15816 	| 0
19945 	| 0.000126803
26176 	| 0.000335208
1550 	| 0
20952 	| 0
24280 	| 0.000653241
365 	| 0
9511 	| 0.00972552
14552 	| 0
15585 	| 0
16906 	| 0.0185055
17187 	| 0.0258292
18579 	| 0.0459309
18736 	| 0.040328
19791 	| 0.0180862
1229 	| 0.0304287
1862 	| 0
3194 	| 0
3532 	| 0
5400 	| 0
7154 	| 0.201037
9946 	| 0
10381 	| 0.0310443
11107 	| 0.0370078
17934 	| 0
22721 	| 0
24129 	| 0
215 	| 0
185 	| 0
351 	| 0
1074 	| 0
1858 	| 0
4512 	| 0
6892 	| 0
8280 	| 0
14542 	| 0
17751 	| 0
18095 	| 0
18143 	| 0
18649 	| 0
18943 	| 0
19573 	| 0
22601 	| 0.0939616
22793 	| 0
3877 	| 0
4354 	| 0
5412 	| 0
6544 	| 0
7357 	| 0
7719 	| 0
10477 	| 0
11445 	| 0
12788 	| 0
18185 	| 0
19246 	| 0
19463 	| 0
20780 	| 0
21861 	| 0
22284 	| 0
22741 	| 0
23514 	| 0
18161 	| 0
11093 	| 0.0081741
165 	| 0
293 	| 0
3228 	| 0.0348552
6556 	| 0.0081741
17194 	| 0.0245105
6524 	| 0.0584151
22436 	| 0
9504 	| 0
5359 	| 0.0081741
2915 	| 0.0023994
10956 	| 0.0331938
20089 	| 0.0275984
25358 	| 0
2350 	| 0
2385 	| 0
20783 	| 0
25405 	| 0
15209 	| 0
15669 	| 0
10807 	| 0
21466 	| 0.0266969
6832 	| 0
19557 	| 0
1090 	| 0.00159763
3990 	| 0
4635 	| 0
4759 	| 0
15166 	| 0
24860 	| 0.00895135
6375 	| 0.00192649
10519 	| 0
20230 	| 0
4775 	| 0
7095 	| 0
9138 	| 0
9432 	| 0.0145417
20229 	| 0
2926 	| 0.000881422
22275 	| 0.0281742
6023 	| 0.053248
13624 	| 0.0153033
19682 	| 0.00380059
17859 	| 0.0081741
6075 	| 3.93364e-006
13932 	| 0
14499 	| 0
20345 	| 0
4023 	| 0.00275409
11902 	| 0.0163462
13647 	| 0.0169528
19146 	| 0
22699 	| 0.0241038
23622 	| 0
25057 	| 0
11617 	| 0
21029 	| 0
12040 	| 0.0260823
1217 	| 0.181196
269 	| 0
1150 	| 0
1611 	| 0
2165 	| 0.0763332
3944 	| 0.000206124
5488 	| 0.0081741
6033 	| 0
8128 	| 0.00854536
9974 	| 0.0081741
12735 	| 0.0270499
14430 	| 0.0884135
19877 	| 0.0490072
20495 	| 0
21638 	| 0
21708 	| 0
22242 	| 0.0256521
23233 	| 0.00292339
24126 	| 0.0184273
25648 	| 0.0013028
3501 	| 0.188111
16278 	| 0
24705 	| 0.00443368
19355 	| 0
22018 	| 0.0266399
25660 	| 0.00270333
3312 	| 0
11493 	| 0
5059 	| 0
21530 	| 1.96682e-006
13485 	| 0
11032 	| 0.0326728
10719 	| 0.0245105
2200 	| 0.00409911
17729 	| 0.00459101
20052 	| 0.043826
21830 	| 0.0245105
379 	| 0.00600114
6064 	| 0.00234043
9439 	| 0.00234043
10907 	| 0
4638 	| 0
23909 	| 0
18237 	| 0
19219 	| 0.00242828
18171 	| 1.96682e-006
85 	| 0
5413 	| 0
8630 	| 0
16521 	| 0.0172613
20517 	| 0.00091706
26005 	| 0
8774 	| 0.025457
5209 	| 0.0870116
6943 	| 0
22748 	| 0
24057 	| 0.351239
25902 	| 0.038214
1014 	| 0
12112 	| 0
17440 	| 0
19150 	| 0
21027 	| 0.0127099
8087 	| 0.0034629
15523 	| 0
17339 	| 0
19711 	| 0
20307 	| 0
1194 	| 0
21858 	| 0
7829 	| 0.0163462
5360 	| 0
19544 	| 0
715 	| 0.0188969
16554 	| 0
4252 	| 0
24451 	| 1.96682e-006
23856 	| 0
6095 	| 0
7446 	| 0.0081741
25236 	| 0
2852 	| 0
12599 	| 0.00889535
25056 	| 0.0105304
25721 	| 0
11638 	| 0
7246 	| 0
17240 	| 0
25091 	| 0
13970 	| 0
80 	| 0
8742 	| 0.0017569
23063 	| 0
19903 	| 0
25469 	| 0.0207545
2851 	| 0
11416 	| 0.0261827
23751 	| 0.00489951
8552 	| 0.00958661
1595 	| 0
1910 	| 0
2293 	| 0.00477
4135 	| 0.0181828
4554 	| 0.0081741
9316 	| 0
16498 	| 0.0109975
17939 	| 0
21587 	| 0
24160 	| 0
25354 	| 0.0040364
10676 	| 0
24961 	| 0
8305 	| 0
22771 	| 0
1736 	| 0.0197888
1914 	| 0
7586 	| 0
14424 	| 0.00265311
19462 	| 0.00265311
2569 	| 0
5546 	| 0
3654 	| 0
11557 	| 0.108295
14154 	| 0
15477 	| 0.176698
15882 	| 0
281 	| 0.029591
5241 	| 0
9471 	| 0.16406
20765 	| 0.250689
3948 	| 0
4013 	| 0.0647685
25516 	| 0.0350482
25684 	| 0.0134301
546 	| 0.0081741
8641 	| 0.0122552
19922 	| 0.0122552
23175 	| 1.96682e-006
21206 	| 0
25662 	| 0
887 	| 0
3721 	| 0
9634 	| 9.83409e-007
14781 	| 0
18972 	| 0
25321 	| 0
8074 	| 0.043505
13164 	| 0.0228232
14541 	| 0
15127 	| 0
18524 	| 0
16230 	| 0
20702 	| 0.0081741
25225 	| 0.0357866
70 	| 0
4727 	| 0.0163462
15559 	| 0.0490013
123 	| 0
23240 	| 0
3980 	| 0
16962 	| 0
3821 	| 0
17991 	| 0
3875 	| 0
9094 	| 0
19061 	| 0
2080 	| 0.0081741
4069 	| 0
5385 	| 0.130339
1968 	| 0
9082 	| 0.0460484
9306 	| 0.0852349
15942 	| 0
1588 	| 0.202622
2805 	| 0
8063 	| 0.0417198
9419 	| 0
5827 	| 0
6351 	| 0
6527 	| 0
10881 	| 0
5367 	| 0
14983 	| 0
19144 	| 0
24183 	| 0.0151123
2184 	| 0
3193 	| 0.0159738
4371 	| 0.01318
15998 	| 0.0148169
23866 	| 0
26004 	| 0.0128158
11822 	| 0
21016 	| 0
21169 	| 0
2936 	| 0
10354 	| 0
18905 	| 0
21563 	| 0
15198 	| 0
18067 	| 0
18297 	| 0.0269558
19781 	| 0.0425509
10186 	| 0
1327 	| 0
6738 	| 0
10825 	| 0
25863 	| 0
4382 	| 0
2789 	| 0.0152679
6641 	| 0
15920 	| 0
18233 	| 0.000239486
24582 	| 0
24583 	| 0
6583 	| 0.187009
15960 	| 0
15974 	| 0
17564 	| 0
18782 	| 0.00556319
23883 	| 0.00270728
14033 	| 0.021205
25383 	| 0
22197 	| 0.00460807
9255 	| 0.00259831
20065 	| 0
22917 	| 0.0832245
23910 	| 0
25572 	| 0
25582 	| 0.0490013
193 	| 0
9993 	| 0.00345633
10819 	| 0
11231 	| 0.0657197
12149 	| 0
20129 	| 0.0152887
23114 	| 0.115259
4878 	| 0
5184 	| 0
8643 	| 0
11967 	| 0.0163443
21779 	| 0
24503 	| 0
24942 	| 0
2119 	| 0
7637 	| 0
11442 	| 0.010198
13651 	| 0
81 	| 0
1029 	| 0
3819 	| 0
869 	| 0
3618 	| 0.0506185
14709 	| 0.00064571
122 	| 0.0309631
6530 	| 0
6707 	| 0
6911 	| 0
15479 	| 0
3524 	| 0.0081741
19927 	| 0.0101736
19350 	| 0.0163462
25959 	| 0
7281 	| 0
25597 	| 0
727 	| 0.0481032
8471 	| 0.150461
16649 	| 0
18331 	| 0.0849458
19469 	| 0
1105 	| 0
14985 	| 0
17911 	| 0.0663974
26127 	| 0.0247714
20215 	| 0
21333 	| 0
18625 	| 0
7584 	| 0.0081741
12049 	| 0
12763 	| 0
17382 	| 0
408 	| 0.0081741
13834 	| 0
17149 	| 0.0897735
23267 	| 0
5843 	| 0.0081741
11213 	| 0.0245144
25877 	| 0
5361 	| 0
18097 	| 0
272 	| 3.93364e-007
2912 	| 0.127771
11811 	| 3.93364e-007
11840 	| 3.93364e-007
19012 	| 0
20305 	| 0
4483 	| 0.001797
6175 	| 0
6266 	| 0
8215 	| 0
8310 	| 0
21401 	| 0.0245105
4673 	| 0.0737474
7475 	| 0.00615789
11426 	| 0.0163462
23673 	| 0
26088 	| 0.0246015
2797 	| 0.0624347
9314 	| 0
12291 	| 0
12639 	| 0
13292 	| 0
13320 	| 0
12664 	| 0.0081741
1109 	| 0
9126 	| 0
10655 	| 0
11610 	| 0
12742 	| 0.00788728
18445 	| 0
4052 	| 0
195 	| 0
17208 	| 0
19168 	| 0
20119 	| 0.00625947
21929 	| 0
17589 	| 0
6533 	| 0
8155 	| 0.0013488
14165 	| 0.0312224
24204 	| 0
25911 	| 0
24506 	| 3.70481e-005
24595 	| 0
9483 	| 0
25250 	| 0.0208523
1258 	| 0.00573955
12032 	| 0.00669395
12797 	| 0
21584 	| 0
6434 	| 0.0184276
21162 	| 0.0157569
10879 	| 0
11925 	| 0
15082 	| 0
18595 	| 0.00809841
8787 	| 0
11979 	| 0.0028197
16274 	| 0.00117182
22722 	| 0
183 	| 0
3982 	| 0
9090 	| 0.0683969
17543 	| 0.0135033
18723 	| 0.0081741
21090 	| 0
24589 	| 0.00231609
23145 	| 0.00125027
7573 	| 0
8193 	| 0
16576 	| 0
16889 	| 0
18521 	| 0.00292736
21391 	| 0
244 	| 0.00576532
1353 	| 0.000348668
3286 	| 0
4765 	| 0.016929
16900 	| 0
18030 	| 0.0287019
22246 	| 0
3752 	| 0
4650 	| 0.0093526
15971 	| 0.0333952
24174 	| 0
16765 	| 0.0267464
17017 	| 0
17161 	| 0
8925 	| 0.0081741
16505 	| 0.0489875
20255 	| 0
21450 	| 0.0163462
3743 	| 0.0851496
839 	| 0
2394 	| 0.0346537
5848 	| 0.0295595
7098 	| 0.0102226
12642 	| 0
21184 	| 0.0652826
23149 	| 0.00211507
4442 	| 0.0397649
7935 	| 0.00127773
25896 	| 0.0368481
12406 	| 0.0182892
16485 	| 0
3034 	| 0
6156 	| 0
18381 	| 0
19686 	| 0
20335 	| 0
22523 	| 0.0231541
2451 	| 0
2341 	| 0
3508 	| 0
12641 	| 0
13068 	| 0
23723 	| 0.00720473
9713 	| 0
1963 	| 0
4302 	| 0
8475 	| 0
19022 	| 0.0219741
26181 	| 0
364 	| 0.00356072
396 	| 0.0203498
13616 	| 0
15214 	| 0.000509141
23266 	| 0
5425 	| 1.18009e-005
2784 	| 0
16109 	| 0
16224 	| 0
21808 	| 0
24161 	| 0
21927 	| 0.0245105
6626 	| 0
10805 	| 0
25069 	| 0.0326728
25628 	| 0
2239 	| 0.044255
10652 	| 0.00982197
17984 	| 0.00707158
22147 	| 0.0118474
22979 	| 0.000396798
24592 	| 0
2877 	| 0.0004529
3876 	| 0
7481 	| 0.00105589
9338 	| 0
12611 	| 0.00780147
12861 	| 0
15175 	| 0
22493 	| 0.0479281
4301 	| 0
16265 	| 0
21614 	| 0
7578 	| 0.0061907
14834 	| 0.101563
15821 	| 0.0081741
22100 	| 0.066794
11607 	| 0
19351 	| 0
2563 	| 0
8437 	| 0
12071 	| 0
2770 	| 0.0026155
6806 	| 0
11806 	| 0.0163443
8678 	| 0.0081741
8301 	| 0
267 	| 9.83409e-007
24240 	| 0.0205668
6632 	| 0
8386 	| 4.58924e-006
12187 	| 0.0912413
13153 	| 0.0040818
14345 	| 0
10081 	| 0.0326787
3185 	| 0
13291 	| 0
20547 	| 0
20792 	| 0
7885 	| 0.0081741
19551 	| 0.0163443
22190 	| 0
9758 	| 0.0081741
17006 	| 0.0408311
1859 	| 0
4298 	| 0.0163452
15192 	| 0
17274 	| 0
18941 	| 0
20902 	| 0.00933039
21798 	| 0.0147957
3631 	| 0
23901 	| 0
13702 	| 0.0095921
14667 	| 0.0241726
17874 	| 0.0169658
18152 	| 0
19978 	| 0
199 	| 0
16935 	| 0.00286074
6482 	| 0.0717646
24148 	| 0.00316961
11629 	| 0.000323845
17099 	| 0
11325 	| 0.0104156
11318 	| 0.0322802
12720 	| 0.0384925
25729 	| 0.0186182
12743 	| 0
21712 	| 0
950 	| 0.017419
1265 	| 0.000417291
1839 	| 0
3063 	| 0
3502 	| 0
4446 	| 0
5639 	| 0.0010661
6009 	| 0
6896 	| 0
9736 	| 0
9980 	| 0
13470 	| 0
15126 	| 0
16881 	| 0
17828 	| 0
17875 	| 0
18210 	| 0
19140 	| 0.0352235
19316 	| 0
23095 	| 0
23864 	| 0
25910 	| 0.00138893
25917 	| 0
14286 	| 0.0056891
17131 	| 0.00265695
20940 	| 0.0365204
6039 	| 0
6176 	| 0
6303 	| 0.000533699
15161 	| 0
20949 	| 9.83409e-007
22879 	| 0.0524019
18215 	| 0.0629045
19051 	| 0
21125 	| 0.085639
2656 	| 0
14560 	| 0
24251 	| 0
1098 	| 0
16107 	| 0
26171 	| 0
8150 	| 0
16703 	| 3.93364e-006
13202 	| 0
22253 	| 3.93364e-006
4128 	| 0
5738 	| 3.14691e-005
5478 	| 0
6538 	| 3.14691e-005
8349 	| 5.50709e-005
12042 	| 0
17252 	| 0
18142 	| 0
13501 	| 0
16216 	| 0
1490 	| 0
20813 	| 0
4781 	| 0.00181625
6081 	| 0
6919 	| 0
19358 	| 0
23616 	| 0
4756 	| 0
5497 	| 0
8298 	| 0.0443451
12709 	| 0
18443 	| 0.0163462
18658 	| 0
18667 	| 0.0163443
26157 	| 0
450 	| 0
11284 	| 0.0422283
11910 	| 0.00127411
23477 	| 0
11923 	| 0
4293 	| 0.00486422
20616 	| 0
11602 	| 0.00662066
5636 	| 0
17988 	| 0
2883 	| 0
4015 	| 0
25189 	| 0.0081741
2055 	| 0
2560 	| 0
4146 	| 0.00252004
10926 	| 0
12553 	| 0
18668 	| 0
15495 	| 0.0285474
9264 	| 0.0978295
12614 	| 0
24970 	| 0.0448916
10640 	| 0
15247 	| 0
17426 	| 0
3037 	| 0.0014127
9712 	| 0.000982685
10726 	| 0.0283125
16482 	| 0.046871
17990 	| 0.00734801
23151 	| 0.0346776
2339 	| 0
24594 	| 0
5477 	| 0.0081741
13497 	| 0
14496 	| 0.0163443
19457 	| 0
5529 	| 0.0245105
5655 	| 0.0164012
2771 	| 0
5417 	| 0
13352 	| 0.0473819
13619 	| 0.0108152
18585 	| 0.0108152
20513 	| 0
4117 	| 0
16471 	| 0
4199 	| 0
6443 	| 0
19932 	| 0
19936 	| 1.77014e-005
25864 	| 0
2118 	| 0
26132 	| 0
17944 	| 0.000583687
20884 	| 0
200 	| 0
492 	| 0
4422 	| 0.0167116
6708 	| 0
7013 	| 0.0417736
8151 	| 0
9020 	| 0
9021 	| 0
9208 	| 0
9722 	| 0
16719 	| 0
16882 	| 0
17016 	| 0
17022 	| 0
19586 	| 0
19678 	| 0
24861 	| 0
9994 	| 0
17276 	| 0
18383 	| 0
12701 	| 0
18879 	| 0
11841 	| 0
20550 	| 0
4211 	| 0.0117797
7104 	| 0
11670 	| 0.00936499
11876 	| 0.00184252
17808 	| 0
24121 	| 0.000190432
25962 	| 0
22283 	| 0
15824 	| 0
21195 	| 0
15171 	| 0
15305 	| 0.0326728
17864 	| 0
23417 	| 0
4139 	| 0
5698 	| 0
9659 	| 0.00663433
10496 	| 0.00654045
11713 	| 0
20002 	| 0
25598 	| 0
25607 	| 0.0357122
25661 	| 0
4138 	| 0.0006363
11328 	| 0.00496227
2455 	| 0
14353 	| 0
14886 	| 7.86727e-006
2043 	| 0
6315 	| 0
21131 	| 0
23859 	| 0
5156 	| 2.55686e-005
7483 	| 0
10904 	| 0
12707 	| 0
14282 	| 9.83409e-006
17933 	| 0
294 	| 0
8626 	| 0
21546 	| 0
11459 	| 0
6706 	| 0
8428 	| 3.93364e-006
10637 	| 0
18603 	| 0
21340 	| 0
12868 	| 0
17180 	| 0
17738 	| 0.174402
18154 	| 0
16213 	| 0
20383 	| 0.0011579
24870 	| 0.00131285
6703 	| 0
12803 	| 0
13999 	| 0.00717673
15596 	| 0
17592 	| 0
18920 	| 0.0465857
15657 	| 0
10878 	| 0.00848673
26020 	| 0
11034 	| 0
18764 	| 0
22433 	| 0
9093 	| 0
13680 	| 0
13346 	| 0.144646
6183 	| 0.0408318
369 	| 0.00272437
7727 	| 0
16433 	| 0.00272437
16570 	| 0.00272273
5601 	| 0.0081741
7645 	| 0.0279462
13675 	| 0
4186 	| 0
12616 	| 0
4485 	| 0
16266 	| 0
1822 	| 0
6503 	| 0.0571656
3773 	| 0
12887 	| 0
21695 	| 0.0245164
1594 	| 0.0319806
4774 	| 0
5673 	| 0
15382 	| 0.00390099
16717 	| 0.007665
19603 	| 0
15172 	| 0
17076 	| 0
19018 	| 5.90046e-006
17595 	| 7.86727e-006
5078 	| 0.0811749
25172 	| 0.0739642
11035 	| 0
21864 	| 2.18317e-005
4284 	| 0
9643 	| 0.00104307
13837 	| 0
15194 	| 0
15623 	| 0
17250 	| 0
23470 	| 0.00426128
25094 	| 0
26067 	| 0
6056 	| 0.0281596
17289 	| 0
23051 	| 0.0326092
